공고번호,주택명,공급지역코드,공급지역명,공급위치우편번호,공급위치,공급규모,모집공고일,청약접수시작일,청약접수종료일,당첨자발표일,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,주택형,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,최고당첨가점,평균당첨가점,전용면적,평면유형,미달여부,공급금액(최고가 기준),위도,경도,행정동코드,법정동코드,시도,시군구,읍면동1,읍면동2,전용면적당 공급금액(최고가기준),전용면적당 시세차익
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,106.9700A,8,2순위,해당지역,0,0.0,0,0,0,106,A,Y,2875500000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,27127358.490566038,27125040.437917106
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,106.9700A,8,2순위,기타지역,0,0.0,-,-,-,106,A,Y,2875500000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,27127358.490566038,27125040.437917106
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,106.8100B,42,1순위,해당지역,0,49.83,69,72,69.26,106,B,N,2997800000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,28281132.0754717,28278814.022822767
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,106.8100B,42,1순위,기타지역,0,0.0,-,-,-,106,B,Y,2997800000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,28281132.0754717,28278814.022822767
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,106.8100B,42,2순위,해당지역,0,0.0,0,0,0,106,B,Y,2997800000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,28281132.0754717,28278814.022822767
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,106.8100B,42,2순위,기타지역,0,0.0,-,-,-,106,B,Y,2997800000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,28281132.0754717,28278814.022822767
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,120.6300,4,1순위,해당지역,230,57.5,69,70,69.25,120,0,N,3184000000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,26533333.333333332,26531015.2806844
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,120.6300,4,1순위,기타지역,0,0.0,-,-,-,120,0,Y,3184000000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,26533333.333333332,26531015.2806844
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,120.6300,4,2순위,해당지역,0,0.0,0,0,0,120,0,Y,3184000000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,26533333.333333332,26531015.2806844
2025000001,래미안 원페를라,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-12,Y,Y,Y,Y,N,N,N,120.6300,4,2순위,기타지역,0,0.0,-,-,-,120,0,Y,3184000000.0,37.4912787353311,126.987523255255,1165062100.0,1165010100.0,서울,서초구,방배4동,방배동,26533333.333333332,26531015.2806844
