시도,년월,구,아파트 동명,아파트명,단지 일련번호,법정동본번코드,법정동부번코드,건축년도,거래주체정보_매수자(개인/법인/공공기관/기타),해제사유발생일,거래금액(만원),계약일,계약월,계약년도,전용면적,층,지번,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명코드,도로명일련번호코드,도로명시군구코드,법정동시군구코드,법정동읍면동코드,법정동
서울,202201,강남구, ,개포주공6단지,11680-290,0185,0000,1983, , ,"280,000",15,1,2022,83.21,8,185,개포로,00516,00000,3122001,01,11680,11680,10300,개포동
서울,202201,강남구, ,개나리래미안,11680-3680,0754,0000,2006, , ,"315,000",26,1,2022,129.8,18,754,역삼로,00306,00000,3122008,01,11680,11680,10100,역삼동
서울,202201,강남구, ,강남자곡 힐스테이트,11680-4375,0619,0000,2015, , ,"103,000",8,1,2022,51.96,7,619,자곡로3길,00021,00000,4166878,01,11680,11680,11200,자곡동
서울,202201,강남구, ,우정에쉐르멤버스,11680-494,0708,0031,2004, , ,"58,000",7,1,2022,36.19,9,708-31,선릉로87길,00014,00000,4166496,01,11680,11680,10100,역삼동
서울,202201,강남구, ,삼성리치빌1,11680-513,0052,0009,2003, , ,"149,000",28,1,2022,84.98,4,52-9,학동로82길,00006,00000,4166822,01,11680,11680,10500,삼성동
서울,202201,강남구, ,한화진넥스빌,11680-249,0706,0020,2001, , ,"46,500",27,1,2022,43.58,20,706-20,언주로86길,00011,00000,4166619,01,11680,11680,10100,역삼동
서울,202201,강남구, ,포스코트,11680-404,0146,0000,2003, , ,"281,000",26,1,2022,160.28,7,146,봉은사로,00510,00000,3122004,02,11680,11680,10500,삼성동
서울,202201,강남구, ,역삼래미안,11680-3621,0757,0000,2005, , ,"268,000",26,1,2022,80.87,8,757,선릉로69길,00019,00000,4166489,01,11680,11680,10100,역삼동
서울,202201,강남구, ,마이다스힐빌라트,11680-667,0728,0006,2003, , ,"72,000",28,1,2022,243.52,2,728-6,역삼로25길,00020,00000,4166641,01,11680,11680,10100,역삼동
서울,202201,강남구, ,마일스디오빌,11680-551,0058,0002,2004, , ,"37,000",26,1,2022,36.29,4,58-2,학동로,00165,00000,3122011,03,11680,11680,10800,논현동
서울,202201,강남구, ,"쌍용대치아파트1동,2동,3동,5동,6동",11680-373,0066,0000,1983, , ,"270,000",28,1,2022,83.56,12,66,영동대로,00210,00000,2122002,04,11680,11680,10600,대치동
서울,202201,강남구, ,브라운스톤역삼,11680-496,0747,0005,2004, , ,"109,000",27,1,2022,59.96,7,747-5,역삼로,00171,00000,3122008,01,11680,11680,10100,역삼동
서울,202201,강남구, ,마일스디오빌,11680-551,0058,0002,2004, , ,"42,000",27,1,2022,36.29,14,58-2,학동로,00165,00000,3122011,03,11680,11680,10800,논현동
서울,202201,강남구, ,래미안라클래시,11680-5004,0189,0000,2021, , ,"311,500",21,1,2022,71.9,22,189,삼성로,00651,00000,3122005,00,11680,11680,10500,삼성동
서울,202201,강남구, ,아이파크,11680-472,0087,0000,2004, , ,"475,000",28,1,2022,156.857,6,87,영동대로,00640,00000,2122002,03,11680,11680,10500,삼성동
서울,202201,강남구, ,테헤란아이파크,11680-4296,0709,0005,2014, ,22.03.21,"220,000",31,1,2022,70.8333,2,709-5,테헤란로52길,00016,00000,4166745,01,11680,11680,10100,역삼동
서울,202201,강남구, ,한신(개포),11680-349,0464,0000,1985, , ,"281,000",23,1,2022,83.86,5,464,언주로,00123,00000,3005086,05,11680,11680,11800,도곡동
서울,202201,강남구, ,역삼I'PARK,11680-3679,0713,0011,2006, , ,"340,000",21,1,2022,130.143,4,713-11,역삼로,00307,00000,3122008,01,11680,11680,10100,역삼동
서울,202201,강남구, ,강남브리즈힐(토지임대부아파트),11680-4341,0618,0000,2014, , ,"124,000",25,1,2022,74.44,10,618,자곡로3길,00045,00000,4166878,01,11680,11680,11200,자곡동
서울,202201,강남구, ,타워팰리스3,11680-470,0467,0029,2004, , ,"420,000",27,1,2022,163.567,42,467-29,언주로30길,00026,00000,4166604,01,11680,11680,11800,도곡동
서울,202201,강남구, ,"현대1차(12,13,21,22,31,32,33동)",11680-415,0369,0001,1976, , ,"800,000",18,1,2022,196.21,9,369-1,압구정로29길,00071,00000,4166514,01,11680,11680,11000,압구정동
서울,202201,강남구, ,강남브리즈힐(토지임대부아파트),11680-4341,0618,0000,2014, , ,"123,000",18,1,2022,74.44,5,618,자곡로3길,00045,00000,4166878,01,11680,11680,11200,자곡동
서울,202201,강남구, ,강남자곡 힐스테이트,11680-4375,0619,0000,2015, , ,"118,000",17,1,2022,51.96,11,619,자곡로3길,00021,00000,4166878,01,11680,11680,11200,자곡동
서울,202201,강남구, ,래미안라클래시,11680-5004,0189,0000,2021, , ,"501,750",17,1,2022,115.93,21,189,삼성로,00651,00000,3122005,00,11680,11680,10500,삼성동
서울,202201,강남구, ,아이파크,11680-472,0087,0000,2004, , ,"420,000",26,1,2022,145.046,9,87,영동대로,00640,00000,2122002,03,11680,11680,10500,삼성동
서울,202201,강남구, ,중명하니빌,11680-344,0965,0000,1997, , ,"49,500",14,1,2022,30.58,5,965,남부순환로365길,00005,00000,4166094,01,11680,11680,11800,도곡동
서울,202201,강남구, ,동양파라곤,11680-473,0245,0000,2004, , ,"320,000",18,1,2022,157.41,7,245,언주로130길,00030,00000,4166574,01,11680,11680,10800,논현동
서울,202201,강남구, ,거평프리젠,11680-104,0196,0000,1996, , ,"40,000",15,1,2022,32.835,6,196,강남대로112길,00041,00000,4166006,01,11680,11680,10800,논현동
서울,202201,강남구, ,삼환(101동),11680-41,0010,0000,1999, , ,"170,000",17,1,2022,84.91,2,10,학동로77길,00049,00000,4166819,01,11680,11680,10400,청담동
서울,202201,강남구, ,현대2,11680-293,0654,0000,1986, , ,"272,000",15,1,2022,84.81,8,654,언주로,00107,00000,3005086,02,11680,11680,10300,개포동
서울,202201,강남구, ,성원대치2단지아파트,11680-280,0012,0000,1992, , ,"120,000",25,1,2022,33.18,8,12,개포로109길,00009,00000,4166040,01,11680,11680,10300,개포동
서울,202201,강남구, ,타워팰리스2,11680-365,0467,0017,2003, , ,"410,000",12,1,2022,154.35,42,467-17,언주로30길,00057,00000,4166604,01,11680,11680,11800,도곡동
서울,202201,강남구, ,래미안블레스티지,11680-4800,1280,0000,2019, , ,"300,000",15,1,2022,84.943,7,1280,선릉로,00008,00000,3122006,00,11680,11680,10300,개포동
서울,202201,강남구, ,라테라스청담,11680-4756,0076,0012,2018, , ,"34,000",17,1,2022,18.62,8,76-12,학동로81길,00009,00000,4166821,00,11680,11680,10400,청담동
서울,202201,강남구, ,우정에쉐르멤버스,11680-494,0708,0031,2004, ,22.04.19,"58,000",7,1,2022,36.19,9,708-31,선릉로87길,00014,00000,4166496,01,11680,11680,10100,역삼동
서울,202201,강남구, ,압구정하이츠파크,11680-549,0632,0000,2004, , ,"550,000",12,1,2022,213.05,19,632,압구정로42길,00078,00000,4166523,01,11680,11680,10700,신사동
서울,202201,강남구, ,래미안대치하이스턴,11680-4293,0985,0000,1989, , ,"280,000",8,1,2022,110.39,14,985,도곡로93길,00012,00000,4166251,01,11680,11680,10600,대치동
서울,202201,강남구, ,성원대치2단지아파트,11680-280,0012,0000,1992, , ,"125,000",8,1,2022,33.18,7,12,개포로109길,00009,00000,4166040,01,11680,11680,10300,개포동
서울,202201,강남구, ,디에이치자이개포,11680-4988,0743,0000,2021, , ,"208,273",26,1,2022,84.94,29,743,영동대로,00022,00000,2122002,05,11680,11680,11400,일원동
서울,202201,강남구, ,현대비젼21,11680-354,0467,0019,1999, , ,"50,000",14,1,2022,35.48,20,467-19,언주로30길,00010,00000,4166604,01,11680,11680,11800,도곡동
서울,202201,강남구, ,미켈란107,11680-401,0107,0000,2003, , ,"205,000",6,1,2022,83,14,107,영동대로,00602,00000,2122002,03,11680,11680,10500,삼성동
서울,202201,강남구, ,까치마을,11680-314,0746,0000,1993, , ,"105,000",7,1,2022,34.44,9,746,광평로19길,00010,00000,4166071,02,11680,11680,11500,수서동
서울,202201,강남구, ,동일파크스위트,11680-3708,0100,0014,2007, , ,"405,000",6,1,2022,174.15,12,100-14,영동대로112길,00067,00000,4166677,01,11680,11680,10500,삼성동
서울,202201,강남구, ,동부센트레빌,11680-601,0670,0000,2005, , ,"425,000",7,1,2022,145.83,21,670,선릉로,00206,00000,3122006,05,11680,11680,10600,대치동
서울,202201,강남구, ,역삼I'PARK,11680-3679,0713,0011,2006, , ,"85,400",7,1,2022,28.246,5,713-11,역삼로,00307,00000,3122008,01,11680,11680,10100,역삼동
서울,202201,강남구, ,아카데미스위트1,11680-566,0467,0007,2004, , ,"220,000",6,1,2022,122.07,22,467-7,언주로30길,00021,00000,4166604,00,11680,11680,11800,도곡동
서울,202201,강남구, ,SK허브프리모,11680-3647,0953,0001,2006, , ,"37,400",18,1,2022,33.8,8,953-1,강남대로,00240,00000,2102001,05,11680,11680,11800,도곡동
서울,202201,강남구, ,역삼I'PARK,11680-3679,0713,0011,2006, , ,"86,000",12,1,2022,28.246,18,713-11,역삼로,00307,00000,3122008,01,11680,11680,10100,역삼동
서울,202201,강남구, ,신동아,11680-47,0134,0016,1997, , ,"220,000",19,1,2022,84.94,2,134-16,학동로105길,00030,00000,4166773,01,11680,11680,10400,청담동
서울,202201,강남구, ,은마,11680-218,0316,0000,1979, , ,"249,000",11,1,2022,76.79,9,316,삼성로,00212,00000,3122005,04,11680,11680,10600,대치동
서울,202201,강남구, ,현대1차101동~106동,11680-292,0653,0000,1984, , ,"275,000",5,1,2022,95.4,2,653,개포로,00303,00000,3122001,01,11680,11680,10300,개포동
서울,202201,강남구, ,삼성,11680-330,0161,0000,1994, , ,"220,000",15,1,2022,84.91,5,161,남부순환로379길,00014,00000,4166100,01,11680,11680,11800,도곡동
서울,202201,강남구, ,강남자곡 힐스테이트,11680-4375,0619,0000,2015, ,22.05.02,"103,000",8,1,2022,51.99,7,619,자곡로3길,00021,00000,4166878,01,11680,11680,11200,자곡동
서울,202201,강남구, ,성원대치2단지아파트,11680-280,0012,0000,1992, , ,"120,000",11,1,2022,33.18,5,12,개포로109길,00009,00000,4166040,01,11680,11680,10300,개포동
서울,202201,강남구, ,대우아이빌명문가(891-23),11680-530,0891,0023,2004, , ,"29,000",13,1,2022,35.72,7,891-23,선릉로90길,00056,00000,4166499,01,11680,11680,10600,대치동
서울,202201,강남구, ,샘터마을,11680-304,0718,0000,1994, , ,"265,000",6,1,2022,101.97,10,718,일원로,00120,00000,3122009,01,11680,11680,11400,일원동
서울,202201,강남구, ,개나리래미안,11680-3680,0754,0000,2006, , ,"325,000",3,1,2022,129.8,14,754,역삼로,00306,00000,3122008,01,11680,11680,10100,역삼동
서울,202201,강남구, ,대우아이빌멤버스(891-26),11680-531,0891,0026,2003, ,22.01.21,"54,500",12,1,2022,51.026,10,891-26,삼성로85길,00042,00000,4166431,01,11680,11680,10600,대치동
서울,202201,강남구, ,그랑디오스,11680-700,0268,0012,2004, , ,"159,140",8,1,2022,132.96,5,268-12,봉은사로51길,00018,00000,4166359,01,11680,11680,10800,논현동
서울,202201,강남구, ,그랑디오스,11680-700,0268,0012,2004, ,22.01.11,"159,140",8,1,2022,132.96,5,268-12,봉은사로51길,00018,00000,4166359,01,11680,11680,10800,논현동
서울,202201,강남구, ,갤러리아트,11680-272,0783,0028,2002, , ,"76,000",3,1,2022,80.39,5,783-28,언주로63길,00030,00000,4166606,01,11680,11680,10100,역삼동
서울,202201,강남구, ,강남역우정에쉐르,11680-503,0823,0007,2004, , ,"20,500",5,1,2022,17.13,11,823-7,테헤란로10길,00010,00000,4166714,01,11680,11680,10100,역삼동
서울,202201,강동구, ,한솔애리즈,11740-2983,0405,0009,2010, , ,"64,510",28,1,2022,81.5,7,405-9,양재대로95길,00060,00000,4172272,01,11740,11740,10800,성내동
