법정동,계약년도,계약월,평당가격,지역
가남읍 태평리,2020,10,151.79,경기
가남읍 태평리,2020,11,119.74499999999999,경기
가남읍 태평리,2021,1,123.33,경기
가남읍 태평리,2021,2,146.875,경기
가남읍 태평리,2021,3,151.98333333333332,경기
가남읍 태평리,2021,4,149.94,경기
가남읍 태평리,2021,5,146.43,경기
가남읍 태평리,2021,8,166.07,경기
가남읍 태평리,2021,9,166.075,경기
가남읍 태평리,2021,10,166.07,경기
가남읍 태평리,2021,11,175.0,경기
가남읍 태평리,2022,2,169.64,경기
가남읍 태평리,2022,3,175.445,경기
가남읍 태평리,2022,4,178.57000000000002,경기
가남읍 태평리,2022,6,180.894,경기
가남읍 태평리,2022,7,181.54666666666665,경기
가남읍 태평리,2022,12,176.79,경기
가남읍 태평리,2023,3,176.79,경기
가남읍 태평리,2023,5,178.51,경기
가남읍 태평리,2023,6,155.12,경기
가남읍 태평리,2023,7,171.425,경기
가남읍 태평리,2023,9,160.71,경기
가남읍 태평리,2023,11,176.79,경기
가남읍 태평리,2024,3,174.11,경기
가남읍 태평리,2024,4,117.65,경기
가남읍 태평리,2024,7,167.85500000000002,경기
가남읍 태평리,2024,8,116.445,경기
가능동,2020,1,324.7113888888889,경기
가능동,2020,2,348.3879069767442,경기
가능동,2020,3,356.0747619047619,경기
가능동,2020,4,306.5355,경기
가능동,2020,5,327.4668965517242,경기
가능동,2020,6,367.9897222222222,경기
가능동,2020,7,383.64489795918365,경기
가능동,2020,8,349.96500000000003,경기
가능동,2020,9,386.8413043478261,경기
가능동,2020,10,350.60571428571427,경기
가능동,2020,11,425.64901639344265,경기
가능동,2020,12,405.9959090909091,경기
가능동,2021,1,428.2304918032787,경기
가능동,2021,2,351.84690476190474,경기
가능동,2021,3,402.1224137931034,경기
가능동,2021,4,508.8338095238095,경기
가능동,2021,5,508.5161904761905,경기
가능동,2021,6,481.8735294117647,경기
가능동,2021,7,535.4248484848486,경기
가능동,2021,8,609.8539130434782,경기
가능동,2021,9,627.6229411764706,경기
가능동,2021,10,598.4258333333333,경기
가능동,2021,11,536.93,경기
가능동,2021,12,605.798,경기
가능동,2022,1,565.448,경기
가능동,2022,2,568.6025,경기
가능동,2022,3,541.3188888888889,경기
가능동,2022,4,532.1666666666666,경기
가능동,2022,5,416.6045454545454,경기
가능동,2022,6,436.7825,경기
가능동,2022,7,486.115,경기
가능동,2022,8,577.89,경기
가능동,2022,9,559.2783333333333,경기
가능동,2022,10,497.18333333333334,경기
가능동,2022,11,341.27,경기
가능동,2022,12,265.06,경기
가능동,2023,1,430.28444444444443,경기
가능동,2023,2,458.38374999999996,경기
가능동,2023,3,437.88090909090914,경기
가능동,2023,4,454.16999999999996,경기
가능동,2023,5,413.30625,경기
가능동,2023,6,488.26125,경기
가능동,2023,7,494.2322222222222,경기
가능동,2023,8,495.79333333333335,경기
가능동,2023,9,544.8925,경기
가능동,2023,10,507.53117647058826,경기
가능동,2023,11,473.7315384615385,경기
가능동,2023,12,407.4866666666667,경기
가능동,2024,1,416.4,경기
가능동,2024,2,413.08833333333337,경기
가능동,2024,3,488.2114285714286,경기
가능동,2024,4,453.08714285714285,경기
가능동,2024,5,486.82842105263154,경기
가능동,2024,6,518.601875,경기
가능동,2024,7,433.78875,경기
가능동,2024,8,492.9558620689655,경기
가능동,2024,9,492.61210526315796,경기
가능동,2024,10,438.9141666666667,경기
가능동,2024,11,484.7095238095238,경기
가능동,2024,12,456.91200000000003,경기
가능동,2025,1,469.7892857142857,경기
가능동,2025,2,488.6786666666667,경기
가사동,2020,1,324.32,경기
가사동,2020,2,324.32,경기
가사동,2020,3,344.02,경기
가사동,2020,4,337.29,경기
가사동,2020,5,329.65999999999997,경기
가사동,2020,6,330.94,경기
가사동,2020,7,324.15,경기
가사동,2020,8,342.79333333333335,경기
가사동,2020,10,334.745,경기
가사동,2020,11,340.28000000000003,경기
가사동,2020,12,347.57,경기
가사동,2021,1,346.8155555555556,경기
가사동,2021,2,357.2988888888889,경기
가사동,2021,3,357.55833333333334,경기
가사동,2021,4,366.805294117647,경기
가사동,2021,5,376.695,경기
가사동,2021,6,381.355,경기
가사동,2021,7,412.16,경기
가사동,2021,8,516.95,경기
가사동,2021,9,511.26,경기
가사동,2021,10,495.765,경기
가사동,2021,12,472.97,경기
가사동,2022,1,542.37,경기
가사동,2022,2,494.49,경기
가사동,2022,3,490.72,경기
가사동,2022,4,508.47,경기
가사동,2022,5,494.93,경기
가사동,2022,6,513.53,경기
가사동,2022,7,489.025,경기
가사동,2022,8,416.9775,경기
가사동,2022,9,462.71,경기
가사동,2022,10,474.58,경기
가사동,2022,11,452.7,경기
가사동,2022,12,476.28999999999996,경기
가사동,2023,1,423.73,경기
가사동,2023,2,438.98333333333335,경기
가사동,2023,3,428.28000000000003,경기
