공급지역코드,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,순위,거주지역,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,전용면적,공급금액(최고가 기준),법정동코드,전용면적당 시세차익
400,N,N,N,Y,N,N,N,1순위,해당지역,13,2.6,34.0,0.0208666666666666,0.0011666666666666,0.0012,0.0011666666666666,0.0503333333333333,0.0012,0.9241333333333334,59.9393,449700000.0,2817710100.0,7502303.610512613
400,N,N,N,Y,N,N,N,1순위,해당지역,8,2.0,24.0,0.0208666666666666,0.0011666666666666,0.0012,0.0011666666666666,0.0503333333333333,0.0012,0.9241333333333334,74.9227,567500000.0,2817710100.0,7574186.914116481
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,0,305.14,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,59.98,1724700000.0,1165010100.0,28752266.80897161
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,0,307.43,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,59.95,1760600000.0,1165010100.0,29365488.452772252
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,0,172.14,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,59.78,1796500000.0,1165010100.0,30049538.75564816
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,849,106.13,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,84.73,2352700000.0,1165010100.0,27764706.61393905
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,0,134.28,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,84.68,2437700000.0,1165010100.0,28784880.81367133
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,732,91.5,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,84.92,2352700000.0,1165010100.0,27702580.675565857
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,0,76.94,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,84.97,2450700000.0,1165010100.0,28839626.162956577
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,0,91.58,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,84.92,2352700000.0,1165010100.0,27702580.675565857
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,282,35.25,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,106.97,2875500000.0,1165010100.0,26879050.555372007
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,0,49.83,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,106.81,2997800000.0,1165010100.0,28064342.372404903
100,Y,Y,Y,Y,N,N,N,1순위,해당지역,230,57.5,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,120.63,3184000000.0,1165010100.0,26392442.786280025
410,N,N,N,N,N,N,N,1순위,해당지역,8,2.0,24.0,0.0843666666666666,0.0015666666666666,0.1499,0.0015666666666666,0.2640666666666666,0.0422666666666666,0.4562666666666666,58.3229,494800000.0,4119210200.0,
400,N,N,N,N,N,N,N,1순위,해당지역,0,17.8,48.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,59.98,548000000.0,2818510100.0,9136007.786530275
400,N,N,N,N,N,N,N,1순위,해당지역,227,5.82,35.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,59.96,541000000.0,2818510100.0,9022310.78145787
