공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,공급세대수,순위,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
29,N,N,N,Y,N,5,1순위,13,2.6,34.0,0.0208666666666666,0.0011666666666666,0.0012,0.0011666666666666,0.0503333333333333,0.0012,0.9241333333333334,2817710100.0,449682826.8015987
29,N,N,N,Y,N,4,1순위,8,2.0,24.0,0.0208666666666666,0.0011666666666666,0.0012,0.0011666666666666,0.0503333333333333,0.0012,0.9241333333333334,2817710100.0,567478533.910275
482,Y,Y,Y,Y,N,35,1순위,0,305.14,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,1724560963.202117
482,Y,Y,Y,Y,N,30,1순위,0,307.43,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,1760461032.7436967
482,Y,Y,Y,Y,N,14,1순위,0,172.14,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,1796361426.8126469
482,Y,Y,Y,Y,N,8,1순위,849,106.13,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,2352503591.399056
482,Y,Y,Y,Y,N,82,1순위,0,134.28,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,2437503707.3016887
482,Y,Y,Y,Y,N,8,1순위,732,91.5,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,2352503150.969053
482,Y,Y,Y,Y,N,18,1순위,0,76.94,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,2450503035.06642
482,Y,Y,Y,Y,N,19,1순위,0,91.58,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,2352503150.969053
482,Y,Y,Y,Y,N,8,1순위,282,35.25,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,2875252037.9081435
482,Y,Y,Y,Y,N,42,1순위,0,49.83,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,2997552408.796568
482,Y,Y,Y,Y,N,4,1순위,230,57.5,69.0,0.1469333333333333,0.0908666666666666,0.0012666666666666,0.7193333333333333,0.0029666666666666,0.0012666666666666,0.0373666666666666,1165010100.0,3183720373.3089595
40,N,N,N,N,N,4,1순위,8,2.0,24.0,0.0843666666666666,0.0015666666666666,0.1499,0.0015666666666666,0.2640666666666666,0.0422666666666666,0.4562666666666666,4119210200.0,494800000.0
706,N,N,N,N,N,60,1순위,0,17.8,48.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,547977747.0360858
706,N,N,N,N,N,39,1순위,227,5.82,35.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,540977754.4562138
706,N,N,N,N,N,39,1순위,762,19.54,48.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,627973365.4504936
706,N,N,N,N,N,11,1순위,148,13.45,37.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,620973406.2611976
706,N,N,N,N,N,99,1순위,0,19.23,52.0,0.0149666666666666,0.0434333333333333,0.2623999999999999,0.1469,0.2583,0.0012666666666666,0.2727666666666666,2818510100.0,709968497.8465164
