공급지역코드,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
100,74,N,N,N,N,N,N,N,13,1순위,해당지역,0,81.31,61.0,0.0980666666666666,0.2402333333333333,0.0303333333333333,0.0006,0.6225999999999999,0.0075,0.0006,1174010600.0,1367883276.4711196
100,74,N,N,N,N,N,N,N,15,1순위,해당지역,0,110.8,67.0,0.0980666666666666,0.2402333333333333,0.0303333333333333,0.0006,0.6225999999999999,0.0075,0.0006,1174010600.0,1392883267.9547236
100,58,N,N,N,N,N,N,N,31,1순위,해당지역,188,6.06,48.0,0.0991333333333333,0.4537,0.0009666666666666,0.0009333333333333,0.4434666666666667,0.0009333333333333,0.0009333333333333,1174010800.0,1199940600.76494
100,58,N,N,N,N,N,N,N,4,1순위,해당지역,59,14.75,55.0,0.0991333333333333,0.4537,0.0009666666666666,0.0009333333333333,0.4434666666666667,0.0009333333333333,0.0009333333333333,1174010800.0,1369940600.76494
100,58,N,N,N,N,N,N,N,2,1순위,해당지역,33,16.5,49.0,0.0991333333333333,0.4537,0.0009666666666666,0.0009333333333333,0.4434666666666667,0.0009333333333333,0.0009333333333333,1174010800.0,1139940600.76494
100,45,N,N,N,N,N,N,N,10,1순위,해당지역,48,4.8,30.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,603847036.5687762
100,45,N,N,N,N,N,N,N,2,1순위,해당지역,15,7.5,47.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,730947050.7225525
100,45,N,N,N,N,N,N,N,4,1순위,해당지역,8,2.0,46.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,852022663.7658454
100,45,N,N,N,N,N,N,N,1,1순위,해당지역,2,2.0,35.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,1010122663.7658454
100,45,N,N,N,N,N,N,N,12,1순위,해당지역,33,2.75,42.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,976315275.4945737
100,45,N,N,N,N,N,N,N,12,1순위,해당지역,32,2.67,35.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,968915119.8030335
100,45,N,N,N,N,N,N,N,2,1순위,해당지역,11,5.5,40.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,1177015685.9540887
100,45,N,N,N,N,N,N,N,2,1순위,해당지역,13,6.5,62.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,1167715572.7238777
100,80,N,N,N,N,N,N,N,8,1순위,해당지역,16,2.0,37.0,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,368976634.8093699
100,80,N,N,N,N,N,N,N,9,1순위,해당지역,13,1.44,37.0,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,434974616.6859357
100,80,N,N,N,N,N,N,N,8,1순위,해당지역,32,4.0,35.0,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,531966171.15992445
100,80,N,N,N,N,N,N,N,7,1순위,해당지역,32,4.57,46.0,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,628963638.9401528
100,80,N,N,N,N,N,N,N,8,1순위,해당지역,19,2.38,27.0,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,638963710.8417385
100,80,N,N,N,N,N,N,N,9,1순위,해당지역,26,2.89,42.0,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,648964020.3609452
410,292,N,N,Y,N,N,Y,N,105,1순위,해당지역,0,72.94,60.0,0.4207333333333333,0.1219333333333333,0.0009666666666666,0.001,0.1808,0.0009666666666666,0.2735333333333333,4148011300.0,478045485.5959686
410,292,N,N,Y,N,N,Y,N,105,1순위,기타지역,831,90.02,62.0,0.4207333333333333,0.1219333333333333,0.0009666666666666,0.001,0.1808,0.0009666666666666,0.2735333333333333,4148011300.0,478045485.5959686
410,292,N,N,Y,N,N,Y,N,14,1순위,해당지역,214,53.5,56.0,0.4207333333333333,0.1219333333333333,0.0009666666666666,0.001,0.1808,0.0009666666666666,0.2735333333333333,4148011300.0,463345484.441463
410,292,N,N,Y,N,N,Y,N,14,1순위,기타지역,108,74.0,57.0,0.4207333333333333,0.1219333333333333,0.0009666666666666,0.001,0.1808,0.0009666666666666,0.2735333333333333,4148011300.0,463345484.441463
100,45,N,N,N,N,N,N,N,15,1순위,해당지역,23,1.53,25.0,0.3917666666666666,0.1334,0.0008333333333333,0.1223,0.2793,0.0411,0.0313333333333333,1150010600.0,1049943383.6578889
100,299,Y,Y,Y,Y,N,N,N,38,1순위,해당지역,0,63.21,64.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,765721546.4417751
100,299,Y,Y,Y,Y,N,N,N,57,1순위,해당지역,0,71.07,64.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,753722363.6663399
100,299,Y,Y,Y,Y,N,N,N,13,1순위,해당지역,0,220.77,69.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,888605799.1530447
100,299,Y,Y,Y,Y,N,N,N,24,1순위,해당지역,0,354.25,73.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,884505909.1640439
100,299,Y,Y,Y,Y,N,N,N,5,1순위,해당지역,983,196.6,69.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,1058082209.6516634
100,299,Y,Y,Y,Y,N,N,N,5,1순위,해당지역,432,86.4,69.0,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,1085883026.8762283
