공급지역코드,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,공급세대수,순위,거주지역,접수건수,경쟁률,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
410,64,N,N,N,N,N,N,N,5.0,1순위,해당지역,6.0,1.2,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,507483873.2804232
410,64,N,N,N,N,N,N,N,5.0,1순위,기타지역,15.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,507483873.2804232
410,64,N,N,N,N,N,N,N,5.0,2순위,해당지역,2.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,507483873.2804232
410,64,N,N,N,N,N,N,N,5.0,2순위,기타지역,8.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,507483873.2804232
410,64,N,N,N,N,N,N,N,3.0,1순위,해당지역,3.0,1.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,557202035.4497354
410,64,N,N,N,N,N,N,N,3.0,1순위,기타지역,10.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,557202035.4497354
410,64,N,N,N,N,N,N,N,3.0,2순위,해당지역,0.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,557202035.4497354
410,64,N,N,N,N,N,N,N,3.0,2순위,기타지역,1.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,557202035.4497354
410,64,N,N,N,N,N,N,N,5.0,1순위,해당지역,3.0,0.6,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,581451647.3544974
410,64,N,N,N,N,N,N,N,5.0,1순위,기타지역,1.0,0.8,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,581451647.3544974
410,64,N,N,N,N,N,N,N,5.0,2순위,해당지역,3.0,3.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,581451647.3544974
410,64,N,N,N,N,N,N,N,5.0,2순위,기타지역,3.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,581451647.3544974
410,64,N,N,N,N,N,N,N,21.0,1순위,해당지역,7.0,0.33,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,613881078.3068783
410,64,N,N,N,N,N,N,N,21.0,1순위,기타지역,19.0,1.36,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,613881078.3068783
410,64,N,N,N,N,N,N,N,21.0,2순위,해당지역,8.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,613881078.3068783
410,64,N,N,N,N,N,N,N,21.0,2순위,기타지역,13.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,613881078.3068783
410,64,N,N,N,N,N,N,N,2.0,1순위,해당지역,4.0,2.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,655720108.2010581
410,64,N,N,N,N,N,N,N,2.0,1순위,기타지역,14.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,655720108.2010581
410,64,N,N,N,N,N,N,N,2.0,2순위,해당지역,0.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,655720108.2010581
410,64,N,N,N,N,N,N,N,2.0,2순위,기타지역,0.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,655720108.2010581
410,64,N,N,N,N,N,N,N,1.0,1순위,해당지역,3.0,3.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,934973252.6455026
410,64,N,N,N,N,N,N,N,1.0,1순위,기타지역,7.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,934973252.6455026
410,64,N,N,N,N,N,N,N,1.0,2순위,해당지역,0.0,0.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,934973252.6455026
